Title;Q_views
Dragon Ball;1
Pokemon;1
Sailor Moon;1
Inuyasha;7
Death note;2
Kakegurui;1
Hunter x hunter (2011);2
Hunter x Hunter Movie 2: The Last Mission;1
Hunter x Hunter Movie 1: Phantom Rouge;1
shingeki no kyoyin;2
yakuso no neverland;1
kimetsu no yaiba;1
hanyo yashahime;1
evangelion;2
boku no hero;1
dr. stone;2
jujutsu kaisen;2
shigatsu wa kimi no uso;3
kaguya-sama wa kokurasetai;2
horimiya;2
seishun buta yarou wa bunny girl senpai no yume wo minai;3
tonikaku kawaii;1
koe no katachi;2
kimi no na wa;3
youkoso jitsuryoku shijou   shugi no kyoushitsu;1
mahou tsukai no yome;2
tensei shitara slime datta ken 1-2;1
violet evergarden;2
wotaku ni koi wa mazukashii;3
tsurezure children;1
tare no yuusha no nariagari;1
dororo;2
maou gakuin no futekigousha;1
rokudenashi majutsu koushi to akashic records;1
charlotte;1
akame ga kill!;1
anohana;1
jaku-chara tomozaki-kun;1
kuzu no honkai;1
ao haru ride;1
koi to yobu ni wa kimochi warui;1
hige wo soru. Soshite joshikousei wa hirou;1
ballroom e youkoso;2
Enen no shouboutai;1
Enen no shouboutai: ni no shou;1
Psycho-pass;1
Relife;2
Yuri on ice;3
Banana fish;4
Orange;2
Sukitte li na yo;1
Our love has always been 10 centimeters apart;2
My dress-up darling;1
Erased;2
Tonari no kaibutsu-kun;1
Assassination classroom;1
Love of kill;1
Haikyuu;3
