title,genres,episodes,duration_per_episode,score,year,studios,Q_views
Dragon Ball,"['Action', 'Adventure', 'Comedy', 'Fantasy']",153,24 min per ep,7.98,1986.0,['Toei Animation'],1
Pokemon,"['Action', 'Adventure', 'Comedy', 'Fantasy']",276,24 min per ep,7.41,1997.0,['OLM'],1
Bishoujo Senshi Sailor Moon,['Romance'],46,24 min per ep,7.74,1992.0,['Toei Animation'],1
InuYasha,"['Action', 'Adventure', 'Fantasy', 'Romance']",167,24 min per ep,7.87,2000.0,['Sunrise'],7
Death Note,"['Supernatural', 'Suspense']",37,23 min per ep,8.62,2006.0,['Madhouse'],2
Kakegurui,"['Drama', 'Mystery', 'Suspense']",12,24 min per ep,7.22,2017.0,['MAPPA'],1
Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy']",148,23 min per ep,9.03,2011.0,['Madhouse'],2
Hunter x Hunter Movie 2: The Last Mission,"['Action', 'Adventure', 'Fantasy']",1,1 hr 37 min,7.28,,['Madhouse'],1
Hunter x Hunter Movie 1: Phantom Rouge,"['Action', 'Adventure', 'Fantasy']",1,1 hr 36 min,7.28,,['Madhouse'],1
Shingeki no Kyojin,"['Action', 'Award Winning', 'Drama', 'Suspense']",25,24 min per ep,8.56,2013.0,['Wit Studio'],2
Yakusoku no Neverland,"['Mystery', 'Suspense']",12,22 min per ep,8.48,2019.0,['CloverWorks'],1
Kimetsu no Yaiba,"['Action', 'Award Winning', 'Supernatural']",26,23 min per ep,8.43,2019.0,['ufotable'],1
Hanyou no Yashahime: Sengoku Otogizoushi,"['Action', 'Adventure', 'Fantasy']",24,24 min per ep,6.69,2020.0,['Sunrise'],1
Evangelion: 3.0 (-46h),['Sci-Fi'],1,10 min,7.16,,['Khara'],2
Boku no Hero Academia,['Action'],13,24 min per ep,7.84,2016.0,['Bones'],1
Dr. Stone,"['Adventure', 'Comedy', 'Sci-Fi']",24,24 min per ep,8.26,2019.0,['TMS Entertainment'],2
